isi,prime,target,condition,meanRT
1050,europe,asia,strong,698.5
50,orient,asia,weak,689.0
1050,orient,asia,weak,748.5
50,quarter,asia,unrel_strong,708.3
1050,quarter,asia,unrel_strong,794.0
50,endless,asia,unrel_weak,694.5
1050,endless,asia,unrel_weak,711.2
50,inquire,ask,strong,695.8
1050,inquire,ask,strong,589.4
50,pray,ask,weak,592.7
1050,pray,ask,weak,719.0
50,parcel,ask,unrel_strong,711.9
1050,parcel,ask,unrel_strong,613.2
50,ad,ask,unrel_weak,690.4
1050,ad,ask,unrel_weak,634.0
50,unconscious,asleep,strong,711.6
1050,unconscious,asleep,strong,710.5
50,tired,asleep,weak,685.4
1050,tired,asleep,weak,744.1
50,lettuce,asleep,unrel_strong,858.9
1050,lettuce,asleep,unrel_strong,803.0
50,procedure,asleep,unrel_weak,851.3
1050,procedure,asleep,unrel_weak,659.7
50,donkey,ass,strong,641.7
1050,donkey,ass,strong,785.7
50,wipe,ass,weak,707.6
1050,wipe,ass,weak,664.0
50,clog,ass,unrel_strong,694.0
1050,clog,ass,unrel_strong,751.8
50,cross,ass,unrel_weak,704.8
1050,cross,ass,unrel_weak,719.9
50,helper,assistant,strong,671.5
1050,helper,assistant,strong,655.5
50,deputy,assistant,weak,685.6
1050,deputy,assistant,weak,731.1
50,tease,assistant,unrel_strong,689.4
1050,tease,assistant,unrel_strong,718.6
50,obscure,assistant,unrel_weak,916.3
1050,obscure,assistant,unrel_weak,808.7
50,presume,assume,strong,662.5
1050,presume,assume,strong,704.6
50,suppose,assume,weak,623.8
1050,suppose,assume,weak,644.0
50,grandpa,assume,unrel_strong,702.7
1050,grandpa,assume,unrel_strong,822.8
50,sweater,assume,unrel_weak,665.3
1050,sweater,assume,unrel_weak,763.3
50,neutron,atom,strong,734.9
1050,neutron,atom,strong,789.5
50,carbon,atom,weak,673.5
1050,carbon,atom,weak,801.1
50,tree,atom,unrel_strong,740.1
1050,tree,atom,unrel_strong,759.7
50,furry,atom,unrel_weak,818.2
1050,furry,atom,unrel_weak,706.7
50,assault,attack,strong,601.7
1050,assault,attack,strong,680.8
50,snack,attack,weak,660.2
1050,snack,attack,weak,661.6
50,link,attack,unrel_strong,648.2
1050,link,attack,unrel_strong,723.4
50,log,attack,unrel_weak,773.5
1050,log,attack,unrel_weak,735.4
50,try,attempt,strong,556.4
1050,try,attempt,strong,666.8
50,feeble,attempt,weak,638.8
1050,feeble,attempt,weak,729.8
50,outlet,attempt,unrel_strong,678.1
1050,outlet,attempt,unrel_strong,626.7
50,intoxicate,attempt,unrel_weak,627.7
1050,intoxicate,attempt,unrel_weak,716.7
50,basement,attic,strong,641.3
1050,basement,attic,strong,785.1
50,cellar,attic,weak,730.4
1050,cellar,attic,weak,905.9
50,lingerie,attic,unrel_strong,746.9
1050,lingerie,attic,unrel_strong,759.8
50,scheme,attic,unrel_weak,688.7
1050,scheme,attic,unrel_weak,771.1
50,relative,aunt,strong,734.9
1050,relative,aunt,strong,660.3
50,grace,aunt,weak,624.0
1050,grace,aunt,weak,714.8
50,sapphire,aunt,unrel_strong,864.9
1050,sapphire,aunt,unrel_strong,644.2
50,woods,aunt,unrel_weak,715.8
1050,woods,aunt,unrel_weak,699.0
