isi,prime,target,condition,meanRT
1050,mug,amuse,unrel_strong,591.6
50,disease,amuse,unrel_weak,625.1
1050,disease,amuse,unrel_weak,585.3
50,saint,angel,strong,575.9
1050,saint,angel,strong,499.4
50,harp,angel,weak,529.1
1050,harp,angel,weak,528.5
50,hike,angel,unrel_strong,514.3
1050,hike,angel,unrel_strong,495.4
50,cliff,angel,unrel_weak,505.2
1050,cliff,angel,unrel_weak,479.9
50,fury,anger,strong,509.3
1050,fury,anger,strong,488.2
50,vent,anger,weak,542.2
1050,vent,anger,weak,475.9
50,standard,anger,unrel_strong,534.0
1050,standard,anger,unrel_strong,699.1
50,exchange,anger,unrel_weak,573.2
1050,exchange,anger,unrel_weak,505.9
50,mad,angry,strong,491.0
1050,mad,angry,strong,513.6
50,irritate,angry,weak,560.9
1050,irritate,angry,weak,504.7
50,time,angry,unrel_strong,508.5
1050,time,angry,unrel_strong,525.4
50,torture,angry,unrel_weak,488.0
1050,torture,angry,unrel_weak,525.1
50,beast,animal,strong,504.6
1050,beast,animal,strong,491.8
50,jungle,animal,weak,504.4
1050,jungle,animal,weak,552.7
50,thesaurus,animal,unrel_strong,595.4
1050,thesaurus,animal,unrel_strong,547.1
50,deposit,animal,unrel_weak,521.0
1050,deposit,animal,unrel_weak,519.3
50,sprain,ankle,strong,543.8
1050,sprain,ankle,strong,551.5
50,wrist,ankle,weak,532.2
1050,wrist,ankle,weak,500.4
50,shoulder,ankle,unrel_strong,505.5
1050,shoulder,ankle,unrel_strong,459.6
50,term,ankle,unrel_weak,493.6
1050,term,ankle,unrel_weak,479.7
50,irritating,annoying,strong,526.7
1050,irritating,annoying,strong,540.2
50,pushy,annoying,weak,525.4
1050,pushy,annoying,weak,571.0
50,drop,annoying,unrel_strong,568.3
1050,drop,annoying,unrel_strong,549.5
50,boxer,annoying,unrel_weak,505.7
1050,boxer,annoying,unrel_weak,512.9
50,yearly,annually,strong,621.8
1050,yearly,annually,strong,510.3
50,monthly,annually,weak,656.9
1050,monthly,annually,weak,498.6
50,most,annually,unrel_strong,627.6
1050,most,annually,unrel_strong,536.9
50,mass,annually,unrel_weak,617.9
1050,mass,annually,unrel_weak,724.4
50,anteater,ant,strong,519.6
1050,anteater,ant,strong,530.3
50,insect,ant,weak,512.7
1050,insect,ant,weak,520.9
50,motionless,ant,unrel_strong,531.7
1050,motionless,ant,unrel_strong,508.8
50,quotient,ant,unrel_weak,563.2
1050,quotient,ant,unrel_weak,534.7
50,together,apart,strong,573.2
1050,together,apart,strong,518.0
50,spread,apart,weak,551.7
1050,spread,apart,weak,534.9
50,reef,apart,unrel_strong,595.1
1050,reef,apart,unrel_strong,503.7
50,soda,apart,unrel_weak,545.6
1050,soda,apart,unrel_weak,558.2
50,rent,apartment,strong,580.6
1050,rent,apartment,strong,513.0
50,evict,apartment,weak,668.7
1050,evict,apartment,weak,556.2
50,component,apartment,unrel_strong,576.6
1050,component,apartment,unrel_strong,574.2
50,mimic,apartment,unrel_weak,623.8
1050,mimic,apartment,unrel_weak,579.3
50,monkey,ape,strong,494.5
1050,monkey,ape,strong,495.9
50,chimpanzee,ape,weak,571.0
1050,chimpanzee,ape,weak,494.2
50,glare,ape,unrel_strong,626.8
1050,glare,ape,unrel_strong,493.6
50,foe,ape,unrel_weak,546.2
1050,foe,ape,unrel_weak,498.1
50,seem,appear,strong,531.8
1050,seem,appear,strong,553.7
50,vanish,appear,weak,649.4
1050,vanish,appear,weak,556.8
50,juggler,appear,unrel_strong,576.1
1050,juggler,appear,unrel_strong,484.7
50,brother,appear,unrel_weak,615.5
1050,brother,appear,unrel_weak,525.7
50,pie,apple,strong,544.5
1050,pie,apple,strong,492.8
50,sauce,apple,weak,493.4
1050,sauce,apple,weak,549.0
50,attend,apple,unrel_strong,496.6
1050,attend,apple,unrel_strong,467.3
50,torn,apple,unrel_weak,504.0
1050,torn,apple,unrel_weak,459.2
50,march,april,strong,575.7
1050,march,april,strong,511.4
50,fool,april,weak,567.9
1050,fool,april,weak,558.3
50,tutu,april,unrel_strong,598.0
1050,tutu,april,unrel_strong,525.7
50,fort,april,unrel_weak,518.4
1050,fort,april,unrel_weak,519.2
50,disagreement,argument,strong,532.5
1050,disagreement,argument,strong,546.0
50,feud,argument,weak,551.9
1050,feud,argument,weak,546.8
50,refreshing,argument,unrel_strong,541.6
1050,refreshing,argument,unrel_strong,486.7
50,band,argument,unrel_weak,544.7
1050,band,argument,unrel_weak,519.4
50,shoulder,arm,strong,476.5
1050,shoulder,arm,strong,531.4
50,strong,arm,weak,501.1
1050,strong,arm,weak,516.4
50,surrounding,arm,unrel_strong,493.8
1050,surrounding,arm,unrel_strong,587.0
50,democracy,arm,unrel_weak,530.5
1050,democracy,arm,unrel_weak,522.2
50,knight,armor,strong,540.9
1050,knight,armor,strong,496.8
50,medieval,armor,weak,586.2
1050,medieval,armor,weak,519.4
50,ahead,armor,unrel_strong,574.3
1050,ahead,armor,unrel_strong,545.0
50,week,armor,unrel_weak,491.0
1050,week,armor,unrel_weak,549.8
50,octopus,arms,strong,532.4
1050,octopus,arms,strong,497.1
50,hug,arms,weak,531.7
